Date,total,tth,chr,fmk,rsk,bmk,cst,msf,dtf,sms,gon,lsh,dod
2020-09-16T01:00:00.000Z,1692,113,102,89,279,23,533,149,179,142,11,19,53
2020-09-17T00:00:00Z,2760,116,115,109,401,151,1101,295,162,169,9,70,62
2020-09-18T00:00:00Z,2552,162,62,101,312,96,1059,240,160,270,50,18,22
2020-09-19T00:00:00Z,1927,120,190,65,300,122,605,169,115,139,19,53,32
2020-09-20T00:00:00Z,1376,79,74,75,296,88,495,86,75,84,1,1,22
2020-09-22T00:00:00Z,2227,107,33,57,478,74,1002,119,165,136,11,16,29
2020-09-23T00:00:00Z,2397,111,72,70,338,142,1120,212,155,112,29,14,22
2020-09-24T00:00:00Z,2356,101,28,58,318,150,994,100,137,419,12,22,17
2020-09-25T00:00:00Z,2423,88,119,93,324,112,1096,237,171,129,21,14,19
